ID,Title,Gross,Budget,Date,Genre,Director,RTRating,IMDBRating,IMDBVotes
757,RiÂ¢hie RiÂ¢h,38087756.0,40000000.0,1994,Comedy,Donald Petrie,2.5,4.7,12687.0
758,Radio Days,14792779.0,16000000.0,1987,Comedy,Woody Allen,9.5,7.5,10839.0
759,Radio Flyer,4651977.0,35000000.0,1992,Drama,Richard Donner,4.3,6.5,6210.0
760,Reservoir Dogs,2832029.0,1200000.0,1992,,Quentin Tarantino,9.6,8.4,212985.0
761,Raiders of the Lost Ark,386800358.0,20000000.0,1981,Adventure,Steven Spielberg,,8.7,242661.0
762,Red River,9012000.0,3000000.0,1948,,Howard Hawks,10.0,7.8,10629.0
763,Reds,50000000.0,33500000.0,1981,Drama,Warren Beatty,9.4,7.4,8455.0
764,Le Violon rouge,10019109.0,10000000.0,1999,Drama,,,7.7,14545.0
765,Red Sonja,6905861.0,17900000.0,1985,Action,Richard Fleischer,2.0,4.4,11896.0
766,Star Wars Ep. VI: Return of the Jedi,572700000.0,32500000.0,1983,Adventure,Richard Marquand,,,
767,The Return,2658490.0,15000000.0,2004,Drama,,,2.3,236.0
768,The Rise and Fall of Miss Thang,401.0,10000.0,2008,Drama,,,,
769,Roger & Me,6706368.0,140000.0,1989,Documentary,Michael Moore,10.0,7.5,14883.0
770,The Right Stuff,21500000.0,27000000.0,1983,Action,Philip Kaufman,9.7,7.9,24275.0
771,The Rocky Horror Picture Show,139876417.0,1200000.0,1975,Musical,,7.7,7.1,41265.0
772,Road House,30050028.0,10000000.0,1989,Action,,4.4,5.8,14085.0
773,Romeo Is Bleeding,3275585.0,10000000.0,1994,Drama,,2.4,6.3,6537.0
774,Rockaway,0.0,2000000.0,2007,Drama,,,4.2,232.0
775,Rocky,225000000.0,1000000.0,1976,,John G. Avildsen,,4.0,84.0
776,Return of the Living Dead Part II,9205924.0,6200000.0,1988,Horror,,,5.1,4661.0
777,The R.M.,1111615.0,500000.0,2003,Comedy,,6.4,5.5,449.0
778,Renaissance Man,24172899.0,40000000.0,1994,Comedy,Penny Marshall,,5.9,7650.0
779,Rambo: First Blood Part II,300400000.0,44000000.0,1985,Action,George P. Cosmatos,3.0,5.8,38548.0
780,Rambo III,188715611.0,58000000.0,1988,Action,,3.6,4.9,31551.0
781,Romeo+Juliet,147542381.0,14500000.0,1996,Drama,Baz Luhrmann,,6.5,78.0
782,Ramanujan,0.0,20000000.0,2007,,Stephen Fry,,,
783,Rain Man,412800000.0,25000000.0,1988,Comedy,Barry Levinson,8.7,8.0,106163.0
784,Rapa Nui,305070.0,20000000.0,1994,,Kevin Reynolds,,6.1,2081.0
785,Roar,2000000.0,17000000.0,1981,,,,5.9,228.0
786,The Robe,36000000.0,5000000.0,1953,,,3.8,6.7,2913.0
787,The Rock,336069511.0,75000000.0,1996,Action,Michael Bay,6.6,7.2,108324.0
788,The Remains of the Day,63954968.0,15000000.0,1993,Drama,James Ivory,9.7,7.9,21736.0
789,Airplane!,83453539.0,3500000.0,1980,Comedy,Jerry Zucker,9.8,7.8,57000.0
790,Repo Man,2300000.0,1500000.0,1984,Comedy,,9.7,6.7,12438.0
791,Rocket Singh: Salesman of the Year,5348767.0,1070000.0,2009,,,,7.5,1436.0
792,Raise the Titanic,7000000.0,40000000.0,1980,,,6.0,3.9,1757.0
793,Restoration,4100000.0,18000000.0,1995,Drama,,,6.5,4024.0
794,The Return of the Living Dead,14237880.0,4000000.0,1985,Horror,,8.8,7.1,13621.0
795,Rejsen til Saturn,2783634.0,2700000.0,2008,Comedy,,,5.9,849.0
796,Return to the Land of Wonders,1338.0,5000.0,2005,Documentary,,,8.5,35.0
797,Return to Oz,10618813.0,27000000.0,1985,Adventure,,5.5,6.7,7491.0
798,The Running Man,38122000.0,30000000.0,1987,Action,Paul Michael Glaser,6.3,6.4,36308.0
799,Run Lola Run,14533173.0,1750000.0,1999,Thriller/Suspense,Tom Tykwer,,6.0,91.0
800,Revolution#9,9118.0,350000.0,2002,Thriller/Suspense,,,7.3,252.0
801,The River Wild,94215000.0,45000000.0,1994,Action,Curtis Hanson,5.6,6.2,14285.0
802,Se7en,328125643.0,30000000.0,1995,Thriller/Suspense,David Fincher,,8.7,278918.0
803,Safe Men,21210.0,1000000.0,1998,,,5.8,5.9,1743.0
804,Secrets & Lies,13417292.0,4500000.0,1996,Drama,Mike Leigh,9.4,7.9,14364.0
805,Sgt. Bilko,37956589.0,39000000.0,1996,Comedy,,3.3,5.2,9693.0
806,Sabrina,87100000.0,58000000.0,1995,Romantic Comedy,Sydney Pollack,6.1,6.0,15749.0
807,Subway,1663296.0,2000000.0,1985,Drama,Luc Besson,8.6,6.2,5904.0
808,School Daze,14545844.0,6000000.0,1988,Drama,Spike Lee,5.8,5.3,2667.0
809,Scarface,44942821.0,25000000.0,1983,Drama,Brian De Palma,8.8,8.2,152262.0
810,Schindler's List,321200000.0,25000000.0,1993,Drama,Steven Spielberg,9.7,8.9,276283.0
811,A Streetcar Named Desire,8000000.0,1800000.0,1951,,Elia Kazan,,8.1,33781.0
812,Shadow Conspiracy,2154540.0,45000000.0,1997,Thriller/Suspense,George P. Cosmatos,,4.7,2427.0
813,Short Cut to Nirvana: Kumbh Mela,439651.0,200000.0,2004,Documentary,,7.5,6.9,105.0
814,Spartacus,60000000.0,12000000.0,1960,Action,Stanley Kubrick,9.6,8.0,50856.0
815,Sunday,450349.0,450000.0,1997,Drama,,7.9,6.9,436.0
816,She Done Him Wrong,2000000.0,200000.0,1933,,,10.0,6.7,1795.0
817,"Secret, The",0.0,3500000.0,2006,Documentary,,,,
818,State Fair,3500000.0,4500000.0,1962,,,1.4,5.7,436.0
819,Sticky Fingers of Time,20628.0,250000.0,1999,Thriller/Suspense,,,,
820,Stargate - The Ark of Truth,0.0,7000000.0,2008,Action,,,,
821,She's Gotta Have It,7137502.0,175000.0,1986,Comedy,Spike Lee,9.3,6.2,2594.0
822,Stargate,196565669.0,55000000.0,1994,Action,Roland Emmerich,4.6,6.7,47174.0
823,The Shadow,31835600.0,40000000.0,1994,Action,Russell Mulcahy,3.4,5.6,9530.0
824,Show Boat,11000000.0,2300000.0,1951,,,8.9,6.9,1788.0
825,Shadowlands,25842377.0,22000000.0,1993,Drama,Sir Richard Attenborough,9.6,7.4,7689.0
826,Shanghai Surprise,2315000.0,17000000.0,1986,,,1.4,2.6,2591.0
827,Shalako,2620000.0,1455000.0,1968,,,,5.3,1090.0
828,Sheena,5778353.0,25000000.0,1984,Adventure,John Guillermin,3.8,4.3,1598.0
829,Shine,35811509.0,5500000.0,1996,Drama,Scott Hicks,9.0,7.6,22439.0
830,The Shining,44017374.0,19000000.0,1980,Horror,Stanley Kubrick,8.7,8.5,177762.0
831,Haakon Haakonsen,15024232.0,8500000.0,1991,Adventure,,,6.4,1125.0
832,Ishtar,14375181.0,40000000.0,1987,Comedy,,1.9,3.7,6094.0
833,Showgirls,20254932.0,40000000.0,1995,Drama,Paul Verhoeven,1.2,4.1,27004.0
834,The Shawshank Redemption,28241469.0,25000000.0,1994,Drama,Frank Darabont,8.8,9.2,519541.0
835,Silver Bullet,10803211.0,7000000.0,1985,Horror,,5.0,5.9,6387.0
836,Side Effects,44701.0,200000.0,2005,Romantic Comedy,,1.1,,
837,Set It Off,36049108.0,9000000.0,1996,Drama,F. Gary Gray,6.1,6.3,4570.0
838,The Silence of the Lambs,275726716.0,20000000.0,1991,Thriller/Suspense,Jonathan Demme,9.6,8.7,244856.0
839,Silver Medalist,0.0,2600000.0,2008,Black Comedy,,,,
840,Silent Trigger,76382.0,15000000.0,1996,,Russell Mulcahy,,5.2,1364.0
841,Thinner,15171475.0,14000000.0,1996,Horror,,1.8,5.3,7888.0
842,Sling Blade,34175000.0,4833610.0,1996,Drama,,9.6,8.0,41785.0
843,Slacker,1227508.0,23000.0,1991,,Richard Linklater,8.3,6.9,5907.0
844,Some Like it Hot,25000000.0,2883848.0,1959,,Billy Wilder,9.7,8.3,67157.0
845,The Scarlet Letter,10359006.0,50000000.0,1995,Drama,Roland Joffe,1.5,4.6,6155.0
846,Silmido,30298347.0,8500000.0,2004,Action,,,7.1,1724.0
847,Sleeper,18344729.0,2000000.0,1973,Comedy,Woody Allen,10.0,7.3,15466.0
848,Sleepers,165600852.0,44000000.0,1996,Drama,Barry Levinson,7.3,7.3,51874.0
849,The Slaughter Rule,13134.0,500000.0,2003,,,,6.0,1136.0
850,Solomon and Sheba,11000000.0,5000000.0,1959,,King Vidor,,6.0,915.0
851,Sur Le Seuil,2013052.0,2500000.0,2003,Drama,,,6.7,585.0
852,The Usual Suspects,23341568.0,6000000.0,1995,Drama,Bryan Singer,8.7,8.7,266890.0
853,Silverado,33200000.0,26000000.0,1985,Western,Lawrence Kasdan,7.6,7.0,14243.0
854,Salvador,1500000.0,4500000.0,1986,Drama,,9.1,7.5,7797.0
855,"Sex, Lies, and Videotape",36741667.0,1200000.0,1989,,Steven Soderbergh,9.7,,
856,Show Me,0.0,400000.0,2005,Thriller/Suspense,,,5.9,288.0
857,Simon,4055.0,1300000.0,2006,Comedy,,,8.0,4873.0
858,Super Mario Bros.,20844907.0,42000000.0,1993,Action,,,3.8,17281.0
859,Somewhere in Time,9709597.0,5100000.0,1980,Drama,,6.3,7.0,8787.0
860,Smoke Signals,7756617.0,2000000.0,1998,Comedy,,8.6,6.9,5058.0
861,Serial Mom,7881335.0,13000000.0,1994,Comedy,John Waters,6.1,6.4,10999.0
862,Sommersturm,95204.0,3000000.0,2006,Drama,,,7.6,5251.0
863,Silent Movie,36145695.0,4400000.0,1976,Comedy,Mel Brooks,8.9,6.4,6248.0
864,The Santa Clause,189800000.0,22000000.0,1994,Comedy,John Pasquin,7.9,6.1,17773.0
865,The Singles Ward,1250798.0,500000.0,2002,Comedy,,5.0,5.7,736.0
866,Sense and Sensibility,134993774.0,16500000.0,1995,Drama,Ang Lee,9.8,7.7,31279.0
867,Singin' in the Rain,3600000.0,2540000.0,1952,,Stanley Donen,10.0,8.4,55352.0
868,Solitude,6260.0,200000.0,2005,Drama,,,4.8,82.0
869,The Sound of Music,286214286.0,8200000.0,1965,Musical,Robert Wise,8.1,6.3,45.0
870,She's the One,13795053.0,3500000.0,1996,Romantic Comedy,Edward Burns,6.0,6.0,8159.0
871,Straight out of Brooklyn,2712293.0,450000.0,1991,,,10.0,5.6,263.0
872,Spaceballs,38119483.0,22700000.0,1987,Comedy,Mel Brooks,6.5,6.9,52434.0
873,Speed,283200000.0,30000000.0,1994,Action,Jan De Bont,9.0,2.6,4175.0
874,Species,113354449.0,35000000.0,1995,Action,Roger Donaldson,3.9,5.6,21917.0
875,Sphinx,11400000.0,10000000.0,1981,Thriller/Suspense,Franklin J. Schaffner,,4.9,478.0
876,Spaced Invaders,15000000.0,3000000.0,1990,Comedy,Patrick Read Johnson,0.9,4.8,1464.0
877,Spellbound,7000000.0,1500000.0,1945,,Alfred Hitchcock,8.7,7.7,14665.0
878,Splash,62599495.0,8000000.0,1984,Comedy,Ron Howard,9.1,6.2,21732.0
879,Superman IV: The Quest for Peace,11227824.0,17000000.0,1987,Action,Sidney J. Furie,,3.4,15164.0
880,Superman II,108185706.0,50000000.0,1981,Adventure,Richard Donner,,6.7,29512.0
881,Superman III,59950623.0,39000000.0,1983,Adventure,,2.3,4.7,18070.0
882,Sparkler,5494.0,1000000.0,1999,,,1.7,5.5,320.0
883,Superman,300200000.0,55000000.0,1978,Adventure,Richard Donner,9.4,4.9,129.0
884,The Specialist,57362581.0,45000000.0,1994,Action,,0.4,4.9,18749.0
885,The Sorcerer,12000000.0,21600000.0,1977,,William Friedkin,,6.8,563.0
886,Sisters in Law,33312.0,300000.0,2006,Documentary,,,6.7,203.0
887,Smilla's Sense of Snow,2221994.0,35000000.0,1997,Thriller/Suspense,Bille August,5.3,6.1,7280.0
888,Assassins,83306268.0,50000000.0,1995,Action,Richard Donner,0.9,5.9,23370.0
889,Star Trek: The Motion Picture,139000000.0,35000000.0,1979,Adventure,Robert Wise,4.8,6.2,25454.0
890,Star Trek III: The Search for Spock,87000000.0,18000000.0,1984,Adventure,Leonard Nimoy,,6.5,22261.0
891,Star Trek IV: The Voyage Home,133000000.0,24000000.0,1986,Adventure,Leonard Nimoy,,7.3,26207.0
892,Stand by Me,52287414.0,8000000.0,1986,Drama,Rob Reiner,9.4,8.2,90143.0
893,Stone Cold,9286314.0,25000000.0,1991,Action,,2.9,4.6,52.0
894,The Stewardesses,25000000.0,200000.0,1969,,,,4.3,86.0
895,Street Fighter,99423000.0,35000000.0,1994,Action,,1.3,3.3,25407.0
896,Star Trek II: The Wrath of Khan,96800000.0,12000000.0,1982,Adventure,,,7.8,36131.0
897,Steal (Canadian Release),220944.0,15000000.0,2003,,,,,
898,The Sting,159616327.0,5500000.0,1973,,George Roy Hill,9.1,8.4,65866.0
899,Stonewall,304602.0,2000000.0,1996,Drama,,,7.0,741.0
900,Star Trek V: The Final Frontier,70200000.0,30000000.0,1989,Action,,,5.0,20600.0
901,Star Trek VI: The Undiscovered Country,96900000.0,27000000.0,1991,Action,,,7.2,23546.0
902,Star Trek: Generations,120000000.0,38000000.0,1994,Adventure,,,6.5,26465.0
903,Stripes,85300000.0,10000000.0,1981,Comedy,Ivan Reitman,8.8,6.8,19618.0
904,Striptease,32773011.0,50000000.0,1996,Comedy,Andrew Bergman,1.2,3.9,18012.0
905,Star Wars Ep. IV: A New Hope,797900000.0,11000000.0,1977,Adventure,George Lucas,,,
906,Saints and Soldiers,1310470.0,780000.0,2004,Drama,Ryan Little,,7.0,7581.0
907,Steppin: The Movie,0.0,1000000.0,2008,Comedy,,,3.3,108.0
908,Strangers on a Train,7000000.0,1200000.0,1951,,Alfred Hitchcock,9.8,8.3,34284.0
909,Sugar Hill,18272447.0,10000000.0,1994,Drama,,2.2,5.3,1627.0
910,Stiff Upper Lips,69582.0,5700000.0,1999,,,2.9,6.1,543.0
911,Shichinin no samurai,271736.0,500000.0,1956,Action,Akira Kurosawa,,8.8,96698.0
912,Sweet Charity,8000000.0,20000000.0,1969,,Bob Fosse,,7.0,1691.0
913,Sands of Iwo Jima,7800000.0,1000000.0,1949,,,10.0,7.1,4160.0
914,The Spy Who Loved Me,185400000.0,14000000.0,1977,Action,,7.8,7.1,24938.0
915,The Swindle,5045359.0,10000000.0,1998,Comedy,,,5.2,1417.0
916,Swingers,6542637.0,200000.0,1996,Comedy,Doug Liman,8.6,6.2,431.0
917,Snow White and the Seven Dwarfs,184925485.0,1488000.0,1937,Musical,,9.7,7.8,38141.0
918,The Sweet Hereafter,4306697.0,5000000.0,1997,Drama,Atom Egoyan,10.0,7.8,16280.0
919,She Wore a Yellow Ribbon,5400000.0,1600000.0,1949,,John Ford,10.0,7.3,5825.0
920,Sex with Strangers,247740.0,1100000.0,2002,Documentary,,3.9,5.0,151.0
921,Spy Hard,26936265.0,18000000.0,1996,Comedy,,0.7,4.7,12682.0
922,Shi Yue Wei Cheng,44195779.0,23000000.0,2009,,,,6.9,1795.0
923,Tango,1687311.0,4500000.0,1999,Drama,,,6.9,1490.0
924,The Age of Innocence,32014993.0,34000000.0,1993,Drama,Martin Scorsese,8.1,7.1,16000.0
925,Talk Radio,3468572.0,4000000.0,1988,Drama,Oliver Stone,8.0,7.0,5659.0
926,The Texas Chainsaw Massacre,26572439.0,140000.0,1974,Horror,Tobe Hooper,9.0,6.1,39172.0
927,The Texas Chainsaw Massacre 2,8025872.0,4700000.0,1986,Horror,Tobe Hooper,4.3,5.1,7702.0
928,Timecop,102053581.0,28000000.0,1994,Action,Peter Hyams,4.7,5.5,16570.0
929,Tin Cup,75854588.0,45000000.0,1996,Romantic Comedy,Ron Shelton,6.9,6.1,17274.0
930,Torn Curtain,13000000.0,3000000.0,1966,,Alfred Hitchcock,8.1,6.6,8670.0
931,To Die For,27688744.0,20000000.0,1995,Black Comedy,Gus Van Sant,8.7,6.8,18459.0
932,Terror Train,8000000.0,3500000.0,1980,,Roger Spottiswoode,3.3,5.5,2479.0
933,Teen Wolf Too,7888000.0,3000000.0,1987,Comedy,,1.4,2.8,5207.0
934,The Fan,18582965.0,55000000.0,1996,Thriller/Suspense,Tony Scott,4.0,5.6,20640.0
935,Timber Falls,0.0,2600000.0,2007,Horror,,3.8,5.3,2213.0
936,Tae Guik Gi: The Brotherhood of War,69826708.0,12500000.0,2004,Drama,,,,
937,The Incredibly True Adventure of Two Girls in Love,2477155.0,250000.0,1995,Drama,,,5.8,1795.0
938,There Goes My Baby,125169.0,10500000.0,1994,Comedy,,,6.3,507.0
939,Tank Girl,4064333.0,25000000.0,1995,Action,,4.2,4.7,10772.0
940,Top Gun,353786701.0,15000000.0,1986,Action,Tony Scott,4.5,6.5,80013.0
941,Thunderball,141200000.0,9000000.0,1965,Action,,9.1,7.0,27245.0
942,The Calling,0.0,2500000.0,2009,,,,3.4,1113.0
943,The Craft,55669466.0,15000000.0,1996,Thriller/Suspense,Andrew Fleming,4.5,5.9,21130.0
944,It Happened One Night,2500000.0,325000.0,1934,Romantic Comedy,Frank Capra,9.7,8.3,25074.0
945,The Net,110521733.0,22000000.0,1995,Thriller/Suspense,,3.3,5.6,24363.0
946,La otra conquista,886410.0,3500000.0,2000,Drama,,,6.1,584.0
947,The Journey,19800.0,500000.0,2003,,,,4.4,74.0
948,They Live,13000000.0,4000000.0,1988,Thriller/Suspense,John Carpenter,8.8,7.0,20995.0
949,Tales from the Hood,11784569.0,6000000.0,1995,Horror,,3.3,5.8,1860.0
950,Time Bandits,37400000.0,12000000.0,1981,Adventure,Terry Gilliam,9.4,6.9,22719.0
951,Tombstone,56505000.0,25000000.0,1993,Western,George P. Cosmatos,7.7,7.7,43688.0
952,Time Changer,1500711.0,825000.0,2002,Drama,,2.2,5.0,1029.0
953,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813.0,25000000.0,1991,Adventure,,,5.3,12742.0
954,Teenage Mutant Ninja Turtles III,42273609.0,21000000.0,1993,Adventure,,3.0,4.3,9064.0
955,Tango & Cash,63408614.0,55000000.0,1989,Action,Andrei Konchalovsky,3.9,5.8,25248.0
956,Teenage Mutant Ninja Turtles,202000000.0,13500000.0,1990,Adventure,Steve Barron,,6.4,25867.0
957,Topaz,6000000.0,4000000.0,1969,,Alfred Hitchcock,7.1,6.2,6389.0
958,Taps,35856053.0,14000000.0,1981,Drama,Harold Becker,7.9,6.5,6515.0
959,Trainspotting,24000785.0,3100000.0,1996,Drama,Danny Boyle,8.9,8.2,150483.0
960,The Train,6800000.0,5800000.0,1965,,John Frankenheimer,8.3,7.8,4692.0
961,Troop Beverly Hills,7190505.0,18000000.0,1989,Comedy,,0.8,4.7,3427.0
962,Trekkies,617172.0,375000.0,1999,Documentary,,,6.9,3004.0
963,True Lies,365300000.0,100000000.0,1994,Action,James Cameron,6.9,7.2,80581.0
964,Terminator 2: Judgment Day,516816151.0,100000000.0,1991,Action,James Cameron,9.8,8.5,237477.0
965,Travellers and Magicians,1058893.0,1800000.0,2005,Drama,,,7.4,1069.0
966,The Terminator,78019031.0,6400000.0,1984,Action,James Cameron,10.0,8.1,179606.0
967,Tremors,16667084.0,10000000.0,1990,Action,,8.8,7.2,29840.0
968,True Romance,12281000.0,12500000.0,1993,Thriller/Suspense,Tony Scott,9.1,7.9,73829.0
969,Tron,26918576.0,17000000.0,1982,Action,,6.8,2.9,923.0
970,Trapeze,14400000.0,4000000.0,1956,,,6.0,6.7,1570.0
971,The Terrorist,195043.0,25000.0,2000,,,,5.5,50.0
972,Trois,1161843.0,200000.0,2000,Thriller/Suspense,,,3.3,360.0
973,Things to Do in Denver when You're Dead,529766.0,15000000.0,1995,Black Comedy,,3.3,6.6,12789.0
974,A Time to Kill,152266007.0,40000000.0,1996,Drama,Joel Schumacher,6.8,7.1,38577.0
975,Total Recall,261400000.0,65000000.0,1990,Action,Paul Verhoeven,8.1,7.4,70355.0
976,This Thing of Ours,37227.0,2000000.0,2003,Drama,,,5.2,316.0
977,Tootsie,177200000.0,15000000.0,1982,Comedy,Sydney Pollack,8.7,7.4,31669.0
978,That Thing You Do!,31748615.0,2500000.0,1996,Drama,Tom Hanks,9.2,6.7,25916.0
979,The Trouble With Harry,7000000.0,1200000.0,1955,,Alfred Hitchcock,8.9,7.2,11580.0
980,Twins,216600000.0,15000000.0,1988,Comedy,Ivan Reitman,3.3,,
981,Twister,495900000.0,88000000.0,1996,Action,Jan De Bont,5.7,6.0,61665.0
982,Towering Inferno,139700000.0,14000000.0,1974,,John Guillermin,,,
983,Taxi Driver,21100000.0,1000000.0,1976,Drama,Martin Scorsese,9.8,8.6,155774.0
984,Tycoon,121016.0,5000000.0,2003,,,,6.0,456.0
985,Toy Story,361948825.0,30000000.0,1995,Adventure,John Lasseter,10.0,8.2,151143.0
986,Twilight Zone: The Movie,29500000.0,10000000.0,1983,Horror,Steven Spielberg,6.7,6.3,12054.0
987,Unforgettable,2483790.0,18000000.0,1996,Thriller/Suspense,John Dahl,2.3,5.7,2284.0
988,UHF,6157157.0,5000000.0,1989,,,5.5,6.6,12676.0
989,Ulee's Gold,15600000.0,2700000.0,1997,Drama,,9.4,7.0,4041.0
990,Under Siege 2: Dark Territory,104324083.0,60000000.0,1995,Action,,3.4,5.1,15218.0
991,The Untouchables,76270454.0,25000000.0,1987,Action,Brian De Palma,8.1,8.0,86097.0
992,Under the Rainbow,18826490.0,20000000.0,1981,Comedy,,,4.9,1263.0
993,Veer-Zaara,7017859.0,7000000.0,2004,Drama,,,7.3,4155.0
994,Videodrome,2120439.0,5952000.0,1983,Horror,David Cronenberg,,7.3,20080.0
995,Les Visiteurs,98754000.0,7000000.0,1996,Comedy,,,6.7,7393.0
996,"Couloirs du temps: Les visiteurs 2, Les",26146072.0,20000000.0,1998,Comedy,,,,
997,The Valley of Decision,9132000.0,2160000.0,1945,,,,7.3,682.0
998,Vampire in Brooklyn,19637147.0,14000000.0,1995,Horror,Wes Craven,1.1,4.3,8200.0
999,The Verdict,53977250.0,16000000.0,1982,Drama,Sidney Lumet,9.6,7.7,10864.0
1000,Virtuosity,23998226.0,30000000.0,1995,Action,,3.4,5.3,11079.0
1001,Everything Put Together,0.0,500000.0,2001,,,,6.7,418.0
1002,A View to a Kill,152627960.0,30000000.0,1985,Action,John Glen,3.9,6.1,23770.0
1003,The Work and the Glory: American Zion,2025032.0,6500000.0,2005,Drama,,,5.6,365.0
1004,A Walk on the Moon,4741987.0,14000000.0,1999,Drama,Tony Goldwyn,7.4,6.4,4125.0
1005,The Work and the Glory,3347647.0,7500000.0,2004,Drama,,1.7,6.0,531.0
1006,The Work and the Story,16137.0,103000.0,2003,Comedy,,,5.1,82.0
1007,What the #$'! Do We Know,10941801.0,4000000.0,2004,Documentary,,,,
1008,Waiting for Guffman,2922988.0,4000000.0,1997,Comedy,Christopher Guest,,7.4,14880.0
1009,Who Framed Roger Rabbit?,351500000.0,70000000.0,1988,Comedy,Robert Zemeckis,9.8,7.6,53541.0
1010,White Fang,34729091.0,14000000.0,1991,Adventure,Randal Kleiser,6.7,,
1011,White Squall,10229300.0,38000000.0,1996,Adventure,Ridley Scott,6.3,6.4,8385.0
1012,What's Eating Gilbert Grape,9170214.0,11000000.0,1993,Drama,Lasse Hallstrom,8.8,7.8,51219.0
1013,Witchboard,7369373.0,2000000.0,1986,Horror,,,5.2,1666.0
1014,The Wiz,13000000.0,24000000.0,1978,Musical,Sidney Lumet,3.7,4.5,4896.0
1015,Walking and Talking,1615787.0,1000000.0,1996,Romantic Comedy,,8.6,6.5,1756.0
1016,The Wild Bunch,509424.0,6000000.0,1969,Western,Sam Peckinpah,9.7,8.2,31196.0
1017,Wall Street,43848100.0,15000000.0,1987,Drama,Oliver Stone,7.8,7.3,35454.0
1018,The Wrong Man,2000000.0,1200000.0,1956,,Alfred Hitchcock,8.9,7.5,7531.0
1019,Woman Chaser,110719.0,150000.0,2000,,,,,
1020,We're No Angels,10555348.0,20000000.0,1989,Comedy,Neil Jordan,5.0,5.6,7839.0
1021,Wolf,131011757.0,70000000.0,1994,Thriller/Suspense,Mike Nichols,6.0,6.0,20035.0
1022,Warriors of Virtue,6448817.0,35000000.0,1997,Action,Ronny Yu,1.0,4.0,1202.0
1023,War Games,74433837.0,12000000.0,1983,Thriller/Suspense,John Badham,,6.4,88.0
1024,Warlock,8824553.0,7000000.0,1991,Horror,Steve Miner,,5.9,4921.0
1025,War and Peace,12500000.0,6000000.0,1956,,King Vidor,5.0,6.8,2923.0
1026,Warlock: The Armageddon,3902679.0,3000000.0,1993,Horror,,,4.9,1888.0
1027,Wasabi,7000000.0,15300000.0,2002,,,,6.5,11647.0
1028,West Side Story,43700000.0,6000000.0,1961,,Robert Wise,9.2,7.7,29488.0
1029,When The Cat's Away,2525984.0,300000.0,1996,Comedy,,,,
1030,Welcome to the Dollhouse,4726732.0,800000.0,1996,Comedy,Todd Solondz,,7.3,13469.0
1031,Witness,65532576.0,12000000.0,1985,Thriller/Suspense,Peter Weir,9.4,7.6,30460.0
1032,Waterworld,264246220.0,175000000.0,1995,Action,Kevin Reynolds,4.2,5.7,54126.0
1033,Willy Wonka & the Chocolate Factory,4000000.0,3000000.0,1971,,,9.0,7.8,46824.0
1034,Wayne's World,183097323.0,20000000.0,1992,Comedy,Penelope Spheeris,8.4,6.9,42570.0
1035,Wyatt Earp,25052000.0,63000000.0,1994,Western,Lawrence Kasdan,4.2,6.4,15614.0
1036,The Wizard of Oz,28202232.0,2777000.0,1939,Musical,King Vidor,,8.3,102795.0
1037,Executive Decision,122079192.0,55000000.0,1996,Thriller/Suspense,,6.5,6.3,18569.0
1038,Exodus,21750000.0,4000000.0,1960,,,6.7,6.8,3546.0
1039,The Exorcist,402500000.0,12000000.0,1973,Horror,William Friedkin,8.4,8.1,103131.0
1040,Extreme Measures,17378193.0,38000000.0,1996,Drama,Michael Apted,5.5,5.9,8038.0
1041,You Can't Take It With You,4000000.0,1644000.0,1938,,Frank Capra,9.6,8.0,8597.0
1042,Eye for an Eye,26792700.0,20000000.0,1996,Drama,John Schlesinger,,5.7,4837.0
1043,Young Guns,44726644.0,13000000.0,1988,Western,,4.0,6.6,21404.0
1044,Young Frankenstein,86300000.0,2800000.0,1974,,Mel Brooks,9.3,8.0,57106.0
1045,Yentl,39012241.0,12000000.0,1983,Musical,Barbra Streisand,7.1,6.2,4952.0
1046,You Only Live Twice,111600000.0,9500000.0,1967,Action,,7.0,7.0,24701.0
1047,Ayurveda: Art of Being,2066892.0,300000.0,2002,Documentary,,,7.3,181.0
1048,Young Sherlock Holmes,19739000.0,18000000.0,1985,Adventure,Barry Levinson,6.3,6.5,7293.0
1049,102 Dalmatians,66941559.0,85000000.0,2000,Comedy,Kevin Lima,3.0,4.4,7147.0
1050,Ten Things I Hate About You,38177966.0,13000000.0,1999,Romantic Comedy,,,6.9,61910.0
1051,"10,000 B.C.",269065678.0,105000000.0,2008,Adventure,Roland Emmerich,0.9,5.8,134.0
1052,10th & Wolf,54702.0,8000000.0,2006,Drama,Robert Moresco,1.9,6.3,3655.0
1053,11:14,0.0,6000000.0,2005,,,,7.3,18261.0
1054,Cloverfield,170764033.0,25000000.0,2008,Action,Matt Reeves,7.6,7.4,136068.0
1055,12 Rounds,18184083.0,20000000.0,2009,Action,Renny Harlin,2.8,5.4,8914.0
1056,Thirteen Conversations About One Thing,3705923.0,3000000.0,2002,Drama,,,7.1,6188.0
1057,13 Going On 30,96439723.0,30000000.0,2004,Comedy,Gary Winick,,6.1,32634.0
1058,Thirteen Ghosts,68467960.0,19000000.0,2001,Horror,,,5.1,23243.0
1059,1408,128529299.0,22500000.0,2007,Horror,,7.8,6.9,72913.0
1060,15 Minutes,56331864.0,42000000.0,2001,Thriller/Suspense,,3.2,6.1,25566.0
